Data;Imp-Total $;Imp_Bens_capital _$;Imp-Bens intermediarios $;Imp-Bens de consumo($);Imp-Bens de consumo duraveis($);Imp-Bens de consumo semiduraveis e nao duraveis(US$);Imp-Combustiveis e lubrificantes(US$);Imp - Bens nao especificados anteriormente(US$);Exp-Total(US$);Exp- Prod. basicos(US$);Exp-Prod. Semimanufaturados(US$);Exp-Prod. Manufaturados(US$);PIB-mensal(MU$);credito(MR$);Infl- IGPM;Infl-IPCA;Div Publica(MR$);Div publica(M$);Div Pub(%PIB)
dez/05;6551077540;820187847;3913089281;720039265;190560376;529478889;1106658720;510171;10918438346;2945462956;1502585867;6256011349;76363;607023;-0.01;0.36;1010240.62;431745.21;66.97
jan/06;6441071084;759860665;4091038682;630123377;167227574;462895803;970252892;307826;9283573556;2741580593;1275415041;5032873374;85112;608729;0.92;0.59;1022617.57;461636.68;66.51
fev/06;5962608262;657091795;3686710527;571322243;136331429;434990814;1055440318;953811;8763461652;2089394866;1238636341;5212216533;84566;615673;0.01;0.41;1023883.68;479638.21;66.75
mar/06;7704100178;903977076;4704194459;795113019;230106118;565006901;1300914046;2392508;11393675691;3159264246;1541890139;6442524068;93564;625790;-0.23;0.43;1032060.29;475253.4;66.99
abr/06;6734804386;719272669;4149953242;695018210;226406412;468611798;1176461066;681968;9826915240;2828176876;1258787908;5462626558;89327;637440;-0.42;0.21;1019291.28;488072.82;64.38
mai/06;7272316728;866268913;4490584452;814649742;256756308;557893434;1115800623;272920;10295335190;2922455395;1273125359;5864135123;93238;654129;0.38;0.1;1042621.49;453372.83;63.51
jun/06;7352736030;919513748;4396946368;771716582;265569319;506147263;1276634636;299199;11452428542;3308984653;1758591628;6189292109;91244;658510;0.75;-0.21;1037934.84;479748.02;64.52
jul/06;7973597590;932964207;4999033835;813119797;290375881;522743916;1246224019;335327;13645350180;4655373680;1887581928;6811903183;95620;669514;0.18;0.19;1045318.25;480517.72;63.26
ago/06;9100451125;944294486;5519522132;955690036;316766416;638923620;1697404744;265657;13651773501;4254738207;1985302035;7130592015;97371;674302;0.37;0.05;1049893.42;491063.34;63.53
set/06;8097103632;930793176;4957525304;944946018;319787844;625158174;1275536232;128239;12564475317;4003769348;1741951550;6589206762;93011;684392;0.29;0.21;1061646.39;488472.62;64.68
out/06;8720351914;970609501;5349734709;974056893;322268476;651788417;1441920326;1804297;12681615567;3715206200;1864200182;6888335814;95477;697581;0.47;0.33;1061724.39;495623.37;64.12
nov/06;8650487655;929915644;4961295769;1049398271;353134930;696263341;1717407704;175158;11890951040;3413388625;1804488332;6427336352;94996;717045;0.75;0.31;1074336.32;496000.15;64.52
dez/06;7183226766;981427552;4356623548;995174863;340826419;654348444;879471472;274307;12258541283;3192794943;1892687341;6967270592;93605;732590;0.32;0.48;1091255.36;510600.49;64.6
jan/07;8438278791;1030409729;5142200816;861581994;206974637;654607357;1426165978;200369;10977014469;3194486170;1738625934;5800889653;106106;738456;0.5;0.44;1102636.37;519156.44;63.6
fev/07;7218817764;796457144;4539530017;791152684;221990117;569162567;1100932491;817789;10126617834;2904834757;1507514898;5503752727;105163;748518;0.27;0.44;1111459.95;524917.33;64.69
mar/07;9503352251;1089563301;5865980145;1169640749;382107639;787533110;1459586728;543296;12882221542;3731706718;1632658293;7291006820;116698;762353;0.34;0.37;1112960.56;543013.54;64.49
abr/07;8248527637;974704251;5124732931;1005437941;337830779;667607162;1160461143;128885;12441325632;4178447747;1595186328;6417618572;113217;781888;0.04;0.25;1106671.09;544326.93;63.67
mai/07;9773823822;1206917366;6007009826;1114019208;369481585;744537623;1465660989;212187;13639244106;4374212012;1870138391;7145154825;117097;793133;0.04;0.28;1105428.31;573325.2;64
jun/07;9284865192;1143234161;5667806618;1043895183;385666096;658229087;1440522854;158782;13112703159;3995434823;1841643542;7014859673;115928;805488;0.26;0.28;1108049.12;575490.35;64.28
jul/07;10763401381;1227732025;6363609341;1181170181;394289481;786880700;2002246536;440953;14111142334;4877459144;1903968491;7077937666;120301;824442;0.28;0.24;1110791.71;591854.07;62.16
ago/07;11550294251;1418287380;7093506294;1307452660;467746509;839706151;1739459173;551566;15094325172;5125723383;2049829705;7590316123;121468;849829;0.98;0.47;1123920.11;573077.76;62.68
set/07;10699705074;1312157096;6183105366;1261808960;467133883;794675077;1933763820;139047;14154511857;4444011893;1801278739;7649158213;116491;865511;1.29;0.18;1125937.87;612555.29;62.46
out/07;12348614219;1316143427;7357521096;1589151880;586674414;1002477466;2075034509;1288733;15752432004;5616782920;2128595858;7703077427;123912;889035;1.05;0.3;1152686.61;661247.48;62.7
nov/07;12041919507;1381864751;6855048521;1518434647;538637196;979797451;2275217890;171214;14010939347;4275043440;1938008109;7528100527;121705;918815;0.69;0.38;1161273.55;651339.7;63.14
dez/07;10603783084;1398977362;5935459467;1310135538;498154110;811981428;1945010458;2890804;14219405299;4877491513;1792422873;7221022143;118712;943922;1.76;0.74;1181418.39;667279.52;63.02
jan/08;12356607690;1648980025;7795404456;1358393814;488478686;869915128;1550654313;902898;13267003721;3992542773;2015694464;6864214634;131280;953413;1.09;0.54;1173193.13;666776.43;61.3
fev/08;11969970471;1397161208;7274406310;1268834091;375528855;893305236;2011041866;786108;12792862019;3791708108;1925449156;6688566817;131651;967443;0.53;0.49;1187260;705652.3;61.9
mar/08;11640531369;1207057420;6756691914;1390646880;510785942;879860938;2268213036;3549672;12605663747;3664273877;1645121998;6987933345;139795;1001598;0.74;0.48;1175814.84;672547.53;61.93
abr/08;12343736992;1516885572;7216368019;1444683131;575040948;869642183;2147893495;321568;14046778995;4610412160;1818583321;7287256635;140953;1026847;0.69;0.55;1187179.5;703972.66;59.83
mai/08;15240387212;1765485663;8728665907;1487343085;635004070;852339015;3244894954;502171;19291294936;8358912750;2603126274;7858767975;141174;1053889;1.61;0.79;1205083.17;739950.37;60.04
jun/08;15882447756;1777824743;9031375723;1670270586;634775639;1035494947;3385589582;601786;18581634423;7585843414;2190418383;8317230177;144501;1076833;1.98;0.74;1245468.95;782772.26;61.38
jul/08;17147067713;2103727227;9849707964;1843099799;824826289;1018273510;3324258242;2515033;20435789299;8317789770;2966801863;8652365290;151930;1094368;1.76;0.53;1258612.6;803814.41;58.03
ago/08;17461024929;2291253465;9561835959;1905494766;678936486;1226558280;3687433177;625913;19736614007;8183189443;2788142928;8286218794;148748;1119457;-0.32;0.28;1252750.34;766864.8;58.26
set/08;17274187149;2152937723;9974991280;2158851748;829003620;1329848128;2971636462;965291;20000906122;7426652788;2746270365;9290315371;147463;1160687;0.11;0.26;1210130.01;632417.04;58.16
out/08;17195476814;2074575974;9982150281;1962423644;773270327;1189153317;3164393159;732936;18479927163;7180107030;2777266400;7975998238;148780;1193073;0.98;0.45;1169102.57;552897.88;57.95
nov/08;13104641809;1705072901;8003508184;1744413768;645339558;1099074210;1664408598;1152612;14737195787;5174602867;2048167021;7210673151;137099;1215779;0.38;0.36;1147607.87;492049.85;58.45
dez/08;11502508881;1939954280;6144637386;1458615046;501622303;956992743;1955613627;2351173;13803187866;4741624971;1548118877;7263072398;129771;1233987;-0.13;0.28;1175202.88;503040.36;61.42
